name,Result,gpa,lsat,urm,we,day_sent,Sent,complete,UR,JJ,Decision,accepted,we_0,we_1_4,we_5_9,we_10,we_B
virgoqueen,Rejected,4.01,168,0,?,,,,,,2/9/2021,0,,,,,
VivaciousSimpleSauce,"WL, Withdrawn",,173,0,1-4 years,20,10/5/2020,10/7/2020,,,3/5/2021,0,0,1,0,0,1
VJBudd,Rejected,3.8,171,0,1-4 years,,,1/8/2021,,,2/9/2021,0,0,1,0,0,1
vlstratt,Rejected,4.12,170,0,0 years (KJD),90,12/14/2020,12/18/2020,,,3/15/2021,0,1,0,0,0,0
VodkaSauce,"WL, Withdrawn",3.95,174,0,1-4 years,70,11/24/2020,12/9/2020,,1/14/2021,2/17/2021,0,0,1,0,0,1
Volatilecrocodile,"WL, Withdrawn",3.94,178,0,1-4 years,,,,,,3/5/2021,0,0,1,0,0,1
VolatileLittleCat,Rejected,3.9,168,0,?,,,,,,1/14/2021,0,,,,,
VolatileVariousBernard,Waitlisted,4,176,0,0 years (KJD),,,,,,,0,1,0,0,0,0
volatilevoltaire,"WL, Withdrawn",3.78,168,1,1-4 years,78,12/2/2020,12/4/2020,,2/25/2021,,0,0,1,0,0,1
vstressed,Rejected,3.39,166,1,1-4 years,167,3/1/2021,3/8/2021,3/8/2021,,4/5/2021,0,0,1,0,0,1
WaddlingOctopus,"WL, Rejected",3.97,174,0,0 years (KJD),37,10/22/2020,10/28/2020,10/28/2020,,2/26/2021,0,1,0,0,0,0
WafflesAndWeenieDogs,Rejected,3.79,170,0,?,143,2/5/2021,,,,4/5/2021,0,,,,,
waiting123456789,Rejected,3.87,174,0,0 years (KJD),,,,,,3/15/2021,0,1,0,0,0,0
WaitingAccidentalSnowshoe,Rejected,3.77,167,0,1-4 years,,,11/13/2020,,,1/14/2021,0,0,1,0,0,1
WaitingCertainMacaque,Rejected,3.84,172,0,1-4 years,,,,,,,0,0,1,0,0,1
waitingonlor,Accepted,3.87,177,0,5-9 years,63,11/17/2020,12/2/2020,,12/10/2020,1/11/2021,1,0,0,1,0,1
WaitingPhobicMayfly,Rejected,3.12,165,1,1-4 years,47,11/1/2020,,,,1/14/2021,0,0,1,0,0,1
WaitlistedPizza,Rejected - FW,3.71,167,0,5-9 years,,,,,,,0,0,0,1,0,1
WanderingPolarBear,"Accepted, Withdrawn",3.8,170,1,1-4 years,70,11/24/2020,12/9/2020,,1/21/2021,2/16/2021,1,0,1,0,0,1
WarriorPoet,Waitlisted,3.81,176,0,1-4 years,21,10/6/2020,10/9/2020,,,2/26/2021,0,0,1,0,0,1
WartyPig,Rejected,3.26,174,0,1-4 years,9,9/24/2020,9/30/2020,,,1/14/2021,0,0,1,0,0,1
WaryClumsyBeetle,Accepted,3.79,176,0,1-4 years,,,,,,,1,0,1,0,0,1
WarySadStoat,Waitlisted,3.81,177,0,1-4 years,,,,11/23/2020,,,0,0,1,0,0,1
WastefulDelicateEchidna,Rejected,3.79,170,0,1-4 years,75,11/29/2020,12/4/2020,,,1/14/2021,0,0,1,0,0,1
WateryShakyHusky,Rejected,3.8,162,1,1-4 years,,,,,,,0,0,1,0,0,1
wavesplz,Rejected - FW,3.75,157,0,5-9 years,70,11/24/2020,12/4/2020,12/4/2020,,1/14/2021,0,0,0,1,0,1
WeakDemonicSiamese,Accepted,3.87,163,1,1-4 years,,,,,,,1,0,1,0,0,1
WeakFascinatedBird,Rejected,3.55,170,0,?,,,,,,,0,,,,,
WearyTiresomeShepherd,Rejected,3.78,174,0,0 years (KJD),57,11/11/2020,11/13/2020,,,3/15/2021,0,1,0,0,0,0
Weready2,Rejected,3.58,169,1,1-4 years,77,12/1/2020,,,,1/15/2021,0,0,1,0,0,1
westkensington,"WL, Rejected",3.93,167,0,?,34,10/19/2020,,,,2/26/2021,0,,,,,
WhaleBarnacle,Rejected,3.86,172,0,1-4 years,152,2/14/2021,2/17/2021,,,4/5/2021,0,0,1,0,0,1
whatrtheodds,"WL, Withdrawn",3.89,178,0,1-4 years,77,12/1/2020,12/10/2020,,,3/17/2021,0,0,1,0,0,1
WhisperingLovingNumbat,Rejected,3.86,170,0,0 years (KJD),,,1/6/2021,,,2/9/2021,0,1,0,0,0,0
WhisperingOutrageousDunker,Rejected,3.68,177,0,0 years (KJD),,,,,,,0,1,0,0,0,0
WhosAfraidOfTheBigBadWave,Rejected,2.9,172,0,5-9 years,,,,,,4/5/2021,0,0,0,1,0,1
who-woulda-thought,"Accepted, Withdrawn",3.97,172,0,1-4 years,41,10/26/2020,10/29/2020,,2/25/2021,3/22/2021,1,0,1,0,0,1
whyamIhere726392,Waitlisted,4.07,170,1,0 years (KJD),47,11/1/2020,,,,3/12/2021,0,1,0,0,0,0
WhylawWhyNot,"Accepted, Withdrawn",3.98,175,0,0 years (KJD),3,9/18/2020,9/25/2020,,11/5/2020,1/11/2021,1,1,0,0,0,0
Whysoserious12,"WL, Withdrawn",4,166,1,5-9 years,139,2/1/2021,,,,3/17/2021,0,0,0,1,0,1
whywhywhy747,Waitlisted,3.9,174,0,?,,,,,,,0,,,,,
whyyyyyyyy2021,Rejected - FW,3.88,168,0,5-9 years,167,3/1/2021,3/11/2021,,,4/5/2021,0,0,0,1,0,1
WickedDivergentGrasshopper,Rejected,3.72,169,0,1-4 years,43,10/28/2020,,,,1/14/2021,0,0,1,0,0,1
WickedYoungAngelfish,Withdrawn,,173,0,1-4 years,,,10/7/2020,,,,0,0,1,0,0,1
willigetinlol,Rejected,3.88,164,1,0 years (KJD),86,12/10/2020,12/15/2020,,,3/15/2021,0,1,0,0,0,0
WillKunstler,Rejected - FW,3.96,172,0,0 years (KJD),133,1/26/2021,1/28/2021,,,3/15/2021,0,1,0,0,0,0
Wilson2020,Rejected,3.9,157,0,?,,,,,,1/14/2021,0,,,,,
WindEnergy,Rejected,3.68,172,0,0 years (KJD),,,10/8/2020,,,1/14/2021,0,1,0,0,0,0
windowsopen1234567,Rejected,3.94,,0,?,,,,,,1/14/2021,0,,,,,
wingingit,Rejected,3.7,169,0,1-4 years,128,1/21/2021,1/25/2021,,,2/17/2021,0,0,1,0,0,1
WiryClosedBulldog,Rejected,3.8,174,0,0 years (KJD),88,12/12/2020,12/17/2020,,,3/15/2021,0,1,0,0,0,0
wizfan23,Rejected,4.06,169,0,0 years (KJD),,,12/14/2020,,,1/14/2021,0,1,0,0,0,0
WokeHilaryBanks,Accepted,3.6,169,1,1-4 years,69,11/23/2020,12/2/2020,,2/25/2021,3/22/2021,1,0,1,0,0,1
wolf,Rejected,,,0,?,,,,,,1/14/2021,0,,,,,
wontheday,"WL, Withdrawn",3.86,180,0,1-4 years,36,10/21/2020,10/23/2020,,,3/17/2021,0,0,1,0,0,1
Woods-Elle,Rejected - FW,3.61,170,0,1-4 years,,,,,,2/17/2021,0,0,1,0,0,1
Woodstock888,Rejected,3.96,169,0,1-4 years,,,,,,,0,0,1,0,0,1
Wootwoot123,Rejected,4.07,160,1,0 years (KJD),75,11/29/2020,,,,1/14/2021,0,1,0,0,0,0
WordyGorl,Rejected,3.95,170,0,0 years (KJD),43,10/28/2020,10/29/2020,,,3/2/2021,0,1,0,0,0,0
WorkableCarefulRetriever,Waitlisted,3.94,175,0,1-4 years,77,12/1/2020,12/4/2020,12/7/2020,,,0,0,1,0,0,1
WorkableDirefulUakari,Rejected,3.8,168,0,1-4 years,,,12/14/2020,,,1/14/2021,0,0,1,0,0,1
WorkableUsefulTarsier,Rejected,3.3,180,0,5-9 years,,,11/5/2020,11/6/2020,,3/2/2021,0,0,0,1,0,1
WorkingForGood,Rejected,3.95,172,0,1-4 years,,,,,,1/14/2021,0,0,1,0,0,1
WorriedWays,Waitlisted,3.98,174,0,1-4 years,,,,,,,0,0,1,0,0,1
WrathfulPleasantCrab,Rejected,3.83,176,0,1-4 years,46,10/31/2020,11/10/2020,,,3/15/2021,0,0,1,0,0,1
WrittenLavender,Rejected,4.05,170,1,0 years (KJD),4,9/19/2020,,,,1/14/2021,0,1,0,0,0,0
WrongMagicalMongrel,Rejected,3.79,167,0,1-4 years,,,,,,1/14/2021,0,0,1,0,0,1
WrongSpitefulDiscus,Rejected,3.95,178,0,0 years (KJD),101,12/25/2020,,,,2/9/2021,0,1,0,0,0,0
wsk,"WL, Rejected",3.97,177,0,0 years (KJD),5,9/20/2020,,,,2/26/2021,0,1,0,0,0,0
wtys20,"Accepted, Withdrawn",3.85,177,0,1-4 years,14,9/29/2020,,,,3/22/2021,1,0,1,0,0,1
wzwsk,Rejected,3.73,170,0,1-4 years,164,2/26/2021,,3/8/2021,,4/5/2021,0,0,1,0,0,1
XLAdventurousWorm,Waitlisted,3.5,170,0,0 years (KJD),,,,,,2/17/2021,0,1,0,0,0,0
XSOppositeDingo,Rejected,3.95,169,0,0 years (KJD),43,10/28/2020,,,,1/14/2021,0,1,0,0,0,0
yatusabes,Waitlisted,3.61,176,0,1-4 years,,,,,,,0,0,1,0,0,1
yawnsoon,Rejected - FW,3.79,171,0,?,,,,,,2/17/2021,0,,,,,
YellowFinickyRhinoceros,Rejected,3.92,173,0,1-4 years,71,11/25/2020,12/9/2020,,,3/15/2021,0,0,1,0,0,1
YellowRebelCoyote,Rejected,3.62,170,0,1-4 years,,,,,,,0,0,1,0,0,1
YellowTawdrySparrow,Rejected,4.03,170,0,1-4 years,,,,,,,0,0,1,0,0,1
yes3832,"WL, Withdrawn",3.48,173,0,5-9 years,,,,,,,0,0,0,1,0,1
YieldingBored,Rejected,3.68,169,0,1-4 years,31,10/16/2020,10/22/2020,,,1/14/2021,0,0,1,0,0,1
YouRang11,Rejected,3.87,163,0,1-4 years,,,,,,1/14/2021,0,0,1,0,0,1
YourFavoriteHansonBrother,Waitlisted,3.71,163,1,5-9 years,77,12/1/2020,12/11/2020,12/14/2020,,3/12/2021,0,0,0,1,0,1
YouthfulCrabbyCandle,Waitlisted,3.72,166,1,1-4 years,,,11/20/2020,,,3/12/2021,0,0,1,0,0,1
YouveGotMail,Rejected,3.7,172,0,1-4 years,0,9/15/2020,9/22/2020,,,1/14/2021,0,0,1,0,0,1
ZanlaJD,Accepted,3.52,176,1,1-4 years,91,12/15/2020,,,2/18/2021,3/22/2021,1,0,1,0,0,1
ZealousAbstractedGoose,Rejected - IS,3.64,167,0,5-9 years,,,,,,2/9/2021,0,0,0,1,0,1
ZealousQuizzicalUakari,Rejected,3.86,172,0,5-9 years,131,1/24/2021,,,,2/17/2021,0,0,0,1,0,1
ZealousSelectiveChimpanzee,Rejected,3.83,166,0,1-4 years,,,,,,,0,0,1,0,0,1
ZestyOwl,Rejected,3.95,164,0,0 years (KJD),58,11/12/2020,11/20/2020,11/23/2020,,1/14/2021,0,1,0,0,0,0
Zeus,Rejected,3.93,168,0,?,,,,,,,0,,,,,
zg98,Waitlisted,3.98,174,0,1-4 years,,,,,,,0,0,1,0,0,1
Zhizhou,Rejected,,171,0,0 years (KJD),,,,,,,0,1,0,0,0,0
ZippyHaltingShepherd,Rejected,3.83,168,1,0 years (KJD),,,,,,,0,1,0,0,0,0
ZippyHomelyOpossum,"WL, Rejected",3.36,166,1,1-4 years,,,,,,,0,0,1,0,0,1
zJqvti,Rejected,3.65,172,0,1-4 years,76,11/30/2020,12/4/2020,,,1/14/2021,0,0,1,0,0,1
zls2021,Rejected,3.66,169,0,1-4 years,,,,,,1/14/2021,0,0,1,0,0,1
ZonkedDecisiveOctopus,Waitlisted,3.83,175,0,0 years (KJD),,,1/11/2021,,,,0,1,0,0,0,0
ZonkedKnowingChin,Rejected,3.72,173,0,1-4 years,,,,,,,0,0,1,0,0,1
ZonkedWillingPelican,Rejected,3.85,177,0,1-4 years,136,1/29/2021,2/3/2021,,,3/15/2021,0,0,1,0,0,1
Zurkish,Rejected,3.53,173,0,5-9 years,118,1/11/2021,1/19/2021,,,3/15/2021,0,0,0,1,0,1
