name,Result,gpa,lsat,urm,we,day_sent,Sent,complete,UR,JJ,Decision,accepted,we_0,we_1_4,we_5_9,we_10,we_B
swoonshore72,Rejected,3.3,169,0,5-9 years,21,10/6/2020,,,,1/14/2021,0,0,0,1,0,1
SynonymousEarlyAxolotl,Rejected,3.36,175,0,5-9 years,,,,,,,0,0,0,1,0,1
Tahminehdbi,Rejected,3.84,167,1,1-4 years,81,12/5/2020,12/9/2020,,,2/9/2021,0,0,1,0,0,1
TalentedAttractiveRussel,Rejected,3.74,170,0,1-4 years,,,,,,1/14/2021,0,0,1,0,0,1
TalentedInexpensiveQuail,Rejected,3.88,161,1,1-4 years,1,9/16/2020,9/22/2020,,,1/14/2021,0,0,1,0,0,1
TalentedVariousHyrax,Rejected,3.8,173,0,1-4 years,,,,,,3/5/2021,0,0,1,0,0,1
talkativesloth,Rejected,3.6,167,1,5-9 years,2,9/17/2020,,,,1/14/2021,0,0,0,1,0,1
talkingslinky,Rejected,3.95,173,1,0 years (KJD),,,,,,1/14/2021,0,1,0,0,0,0
TameSteadfastOriole,"Accepted, Withdrawn",3.91,176,1,1-4 years,52,11/6/2020,11/16/2020,,12/10/2020,1/11/2021,1,0,1,0,0,1
TangyCrabbyMandrill,Rejected,3.91,171,0,1-4 years,49,11/3/2020,,,,2/9/2021,0,0,1,0,0,1
TangyDragon,"WL, Accepted",3.89,173,0,1-4 years,45,10/30/2020,11/16/2020,,4/6/2021,4/14/2021,1,0,1,0,0,1
TangyMeatyBullfrog,Rejected,,,0,10+ years,166,2/28/2021,3/11/2021,,,4/5/2021,0,0,0,0,1,1
TangyMeatyRottweiler,Rejected,3.7,169,0,1-4 years,,,,,,,0,0,1,0,0,1
tarpon24,Rejected,3.86,170,0,1-4 years,,,,,,,0,0,1,0,0,1
TastefulHulkingSheepdog,Rejected,3.85,163,0,1-4 years,,,,,,,0,0,1,0,0,1
TastelessDramaticMastiff,Withdrawn,3.84,167,0,1-4 years,155,2/17/2021,2/23/2021,,,,0,0,1,0,0,1
TasteOfMetal,Rejected,3.93,172,0,1-4 years,,,,,,,0,0,1,0,0,1
TastyInnateEel,Rejected,4,169,0,0 years (KJD),,,,,,,0,1,0,0,0,0
TastyPricklyPanther,Waitlisted,3.79,175,0,1-4 years,,,,,,,0,0,1,0,0,1
TawdryElasticGoose,Rejected,3.8,169,0,1-4 years,,,,,,,0,0,1,0,0,1
TawdryTremendousBulldog,Rejected,3.68,173,0,1-4 years,,,,,,1/14/2021,0,0,1,0,0,1
taylorfornow,Rejected - FW,3.87,172,0,1-4 years,122,1/15/2021,1/20/2021,1/20/2021,,2/9/2021,0,0,1,0,0,1
TB89,Rejected,3.94,173,0,10+ years,,,,,,,0,0,0,0,1,1
teachertoattorney,Rejected,3.63,176,0,1-4 years,71,11/25/2020,12/2/2020,,,3/15/2021,0,0,1,0,0,1
TeamOtter5656,Rejected,3.89,170,0,5-9 years,,,,,,,0,0,0,1,0,1
TeaPartayyy,Rejected,3.83,167,0,1-4 years,59,11/13/2020,11/19/2020,,,1/14/2021,0,0,1,0,0,1
TearfulSturdyWallaby,Rejected,3.62,180,0,1-4 years,20,10/5/2020,10/7/2020,,,1/14/2021,0,0,1,0,0,1
teddy5ever,Accepted,4,176,0,0 years (KJD),28,10/13/2020,10/16/2020,,2/18/2021,,1,1,0,0,0,0
Teddysug,Rejected,3.65,172,0,1-4 years,38,10/23/2020,,,,,0,0,1,0,0,1
teebert,Rejected,4,168,0,1-4 years,19,10/4/2020,10/23/2020,,,1/14/2021,0,0,1,0,0,1
TeenyWeenySlimMacaque,Waitlisted,3.97,173,0,1-4 years,,,,,,,0,0,1,0,0,1
Tempest112,"WL, Withdrawn",4.05,174,0,1-4 years,88,12/12/2020,12/18/2020,,1/21/2021,,0,0,1,0,0,1
TenderWindyBongo,Rejected,3.74,172,0,0 years (KJD),69,11/23/2020,11/30/2020,,,3/15/2021,0,1,0,0,0,0
TENET,"WL, Rejected",3.53,172,1,5-9 years,55,11/9/2020,11/17/2020,11/17/2020,,6/14/2021,0,0,0,1,0,1
TenseJaggedInsect,Accepted,3.95,165,0,1-4 years,,,,,,,1,0,1,0,0,1
TerribleChivalrousEmu,Waitlisted,3.99,172,0,1-4 years,,,,,,,0,0,1,0,0,1
TerrificLongOctopus,Rejected,3.31,154,0,?,,,,,,,0,,,,,
test1207,Rejected,3.78,173,1,1-4 years,58,11/12/2020,,,,1/14/2021,0,0,1,0,0,1
TestyPsychoticHedgehog,Rejected,3.72,174,0,?,,,,,,,0,,,,,
texasgal96,Accepted,3.99,171,0,1-4 years,36,10/21/2020,10/31/2020,11/2/2020,2/18/2021,3/22/2021,1,0,1,0,0,1
ThatJokeYoureBoundtoHear,Waitlisted,3.97,171,1,0 years (KJD),,,,,,,0,1,0,0,0,0
thatplasticdude,Rejected,3.51,173,0,0 years (KJD),,,10/14/2020,,,1/14/2021,0,1,0,0,0,0
TheBigLoon,Rejected,3.98,166,0,0 years (KJD),,,,,,1/14/2021,0,1,0,0,0,0
theblueberryqueen,Accepted,3.9,179,0,1-4 years,33,10/18/2020,10/21/2020,,11/12/2020,1/11/2021,1,0,1,0,0,1
TheCaptainToad,"WL, Withdrawn",3.67,176,0,0 years (KJD),45,10/30/2020,11/9/2020,,,3/5/2021,0,1,0,0,0,0
TheDongfather,Rejected - FW,3.75,174,0,0 years (KJD),161,2/23/2021,2/25/2021,,,4/5/2021,0,1,0,0,0,0
TheEtymologyofOogaBooga,Rejected,3.59,173,0,1-4 years,,,,,,,0,0,1,0,0,1
TheFictiveTortoise,"Accepted, Withdrawn - FW",3.92,175,0,1-4 years,24,10/9/2020,,,11/10/2020,1/11/2021,1,0,1,0,0,1
Thehairyrussian,Rejected,4.14,170,0,1-4 years,,,,,,2/9/2021,0,0,1,0,0,1
theinsensiblelight,Rejected,3.4,159,0,1-4 years,,,,,,,0,0,1,0,0,1
TheIvoryTreehouse,Rejected,3.86,164,0,5-9 years,136,1/29/2021,2/1/2021,,,3/15/2021,0,0,0,1,0,1
TheJudges12,Rejected,3.75,160,0,1-4 years,46,10/31/2020,11/5/2020,11/5/2020,,1/14/2021,0,0,1,0,0,1
TheMarinersSoldier,Rejected - FW,3.76,,0,0 years (KJD),9,9/24/2020,10/7/2020,,,1/14/2021,0,1,0,0,0,0
TheOther512,Waitlisted,3.94,175,0,0 years (KJD),,,,,,,0,1,0,0,0,0
thepaintedlady,Rejected,3.71,170,0,1-4 years,81,12/5/2020,12/10/2020,,,,0,0,1,0,0,1
TheQueen,Rejected,3.7,141,0,1-4 years,,,,,,,0,0,1,0,0,1
TheRealJackMcCoy,"WL, Rejected",3.88,171,0,0 years (KJD),72,11/26/2020,12/9/2020,,,5/18/2021,0,1,0,0,0,0
TheSaulGoodman,Rejected,3.86,170,0,1-4 years,55,11/9/2020,11/20/2020,11/23/2020,,1/14/2021,0,0,1,0,0,1
TheseQuestions3,Rejected,3.92,172,0,5-9 years,47,11/1/2020,11/16/2020,,,3/2/2021,0,0,0,1,0,1
TheSplit,Rejected,3.35,177,0,0 years (KJD),70,11/24/2020,,,,1/14/2021,0,1,0,0,0,0
TheSplitter,Rejected,3,167,0,0 years (KJD),,,10/9/2020,,,,0,1,0,0,0,0
TheWosh,Rejected - FW,3.9,179,0,1-4 years,1,9/16/2020,9/24/2020,,,3/2/2021,0,0,1,0,0,1
ThickVastQuetzal,Rejected,3.76,175,0,5-9 years,89,12/13/2020,12/17/2020,,,3/15/2021,0,0,0,1,0,1
thingthatdescribesme,Rejected,4,172,0,0 years (KJD),48,11/2/2020,11/12/2020,,,1/14/2021,0,1,0,0,0,0
ThinkableInvincibleSponge,Rejected,3.6,165,0,?,,,,,,,0,,,,,
ThirstyDryWasp,Rejected,3.72,168,0,1-4 years,,,,,,1/14/2021,0,0,1,0,0,1
ThisIsACasino,"WL, Rejected",3.4,179,0,5-9 years,,,2/2/2021,,,3/12/2021,0,0,0,1,0,1
thisnameismyname,Waitlisted,3.8,177,0,0 years (KJD),,,10/28/2020,,,,0,1,0,0,0,0
ThoughtlessIllKangaroo,Rejected,3.58,165,0,?,,,,,,,0,,,,,
ThreeQuaintBobcat,Waitlisted,3.97,179,0,0 years (KJD),51,11/5/2020,11/11/2020,,,,0,1,0,0,0,0
throwaway2901,Rejected,,170,0,?,70,11/24/2020,,,,1/14/2021,0,,,,,
throwaway4268,"WL, Rejected",3.86,175,0,1-4 years,28,10/13/2020,10/15/2020,10/16/2020,,3/5/2021,0,0,1,0,0,1
throwawayrando,"WL, Withdrawn",3.96,172,0,1-4 years,14,9/29/2020,10/2/2020,,,3/5/2021,0,0,1,0,0,1
thursday621,Rejected,,,0,?,,,,,,1/14/2021,0,,,,,
Thyme,Rejected - FW,3.76,177,1,1-4 years,50,11/4/2020,11/12/2020,11/12/2020,12/10/2020,2/17/2021,0,0,1,0,0,1
Tigerman57,Rejected,3.53,171,0,0 years (KJD),,,,,,,0,1,0,0,0,0
Timotheus,Rejected,3.77,177,0,10+ years,14,9/29/2020,10/9/2020,,,3/2/2021,0,0,0,0,1,1
TinyBear,"WL, Withdrawn",3.93,179,0,1-4 years,24,10/9/2020,10/13/2020,,,2/26/2021,0,0,1,0,0,1
TiredButHopeful,Rejected,3.43,160,0,1-4 years,,,,,,,0,0,1,0,0,1
TiredOfThisThx,Accepted - FW,3.88,168,1,0 years (KJD),97,12/21/2020,1/4/2021,,1/21/2021,2/16/2021,1,1,0,0,0,0
TiredUkrainian,Waitlisted,3.9,,0,1-4 years,56,11/10/2020,,,,3/22/2021,0,0,1,0,0,1
TiredWaryWalrus,Rejected,3.83,173,0,1-4 years,47,11/1/2020,,,,3/15/2021,0,0,1,0,0,1
TiresomeFantasticLizard,"Accepted, Withdrawn - FW",3.72,172,1,0 years (KJD),27,10/12/2020,10/20/2020,,11/23/2020,1/11/2021,1,1,0,0,0,0
TiresomeFlawlessEchidna,"Accepted, Attending",4,174,0,1-4 years,19,10/4/2020,10/8/2020,,11/12/2020,1/11/2021,1,0,1,0,0,1
TiresomeSecondAkita,Rejected,3.46,176,0,1-4 years,72,11/26/2020,12/8/2020,,,1/14/2021,0,0,1,0,0,1
ToffeeBunny,Rejected,3.82,170,0,0 years (KJD),66,11/20/2020,,,,1/14/2021,0,1,0,0,0,0
tofu-tofu-tofu,"Accepted, Attending",3.91,175,1,0 years (KJD),0,9/15/2020,9/18/2020,,11/5/2020,1/11/2021,1,1,0,0,0,0
toiletghost,Rejected - FW,3.75,172,0,1-4 years,10,9/25/2020,,,,,0,0,1,0,0,1
tomfogarty2000,Waitlisted,3.99,173,0,1-4 years,,,,,,,0,0,1,0,0,1
Tonitonitonio,Rejected,3.65,165,0,1-4 years,21,10/6/2020,,,,1/14/2021,0,0,1,0,0,1
TonyStarksEyeroll,Rejected,3.83,168,0,1-4 years,,,,,,3/15/2021,0,0,1,0,0,1
TonyStregs91,"Accepted, Withdrawn",3.98,176,0,5-9 years,,,,,,,1,0,0,1,0,1
TooManyCooks2,Rejected,3.77,171,0,1-4 years,,,10/30/2020,,,1/14/2021,0,0,1,0,0,1
TorpidExuberantCapuchin,Rejected,3.55,170,0,1-4 years,,,,,,,0,0,1,0,0,1
TorpidToughLobster,"WL, Withdrawn",3.9,178,0,1-4 years,43,10/28/2020,11/4/2020,,,2/26/2021,0,0,1,0,0,1
TorpidVariousDachsbracke,Rejected,3.55,166,0,5-9 years,,,,,,,0,0,0,1,0,1
Tortally-Radical,Rejected,3.91,171,0,0 years (KJD),84,12/8/2020,,,,2/9/2021,0,1,0,0,0,0
ToughHardGrouse,"WL, Rejected",3.91,175,0,0 years (KJD),113,1/6/2021,1/13/2021,,,5/18/2021,0,1,0,0,0,0
Toukyoo,Rejected,3.5,161,0,?,,,,,,1/14/2021,0,,,,,
TremendousBreezyBeagle,Rejected,3.3,169,0,1-4 years,,,,,,,0,0,1,0,0,1
TremendousMagicalRetriever,Rejected,3.65,165,0,5-9 years,0,9/15/2020,,,,1/14/2021,0,0,0,1,0,1
TrialAtty31199,Rejected,3.5,167,0,0 years (KJD),,,,,,1/14/2021,0,1,0,0,0,0
TrickyCrocodile,"WL, Rejected",3.8,175,0,1-4 years,15,9/30/2020,,,,5/18/2021,0,0,1,0,0,1
TrickyFriendlyGrasshopper,Waitlisted - FW,,166,1,?,,,,,,,0,,,,,
TrickySlimDugong,Rejected,3.48,179,0,1-4 years,120,1/13/2021,1/19/2021,,,3/15/2021,0,0,1,0,0,1
tripod18,Rejected,3.63,172,0,5-9 years,141,2/3/2021,,,,3/15/2021,0,0,0,1,0,1
TriteStaleForest,"Accepted, Withdrawn",4.1,178,0,0 years (KJD),50,11/4/2020,11/12/2020,,12/10/2020,1/11/2021,1,1,0,0,0,0
Tron3,"WL, Withdrawn",4.07,171,0,1-4 years,6,9/21/2020,9/29/2020,,,2/26/2021,0,0,1,0,0,1
Troopayellowsno,Rejected - IS,3.3,162,0,10+ years,118,1/11/2021,2/4/2021,2/25/2021,,3/15/2021,0,0,0,0,1,1
TruculentCombativeBullfrog,"Accepted, Attending",3.9,170,0,0 years (KJD),,,,,,,1,1,0,0,0,0
TryingToFigureLifeOut,"Accepted, Withdrawn",3.9,180,0,1-4 years,,,,,,,1,0,1,0,0,1
TSA18,Waitlisted,3.73,174,0,1-4 years,48,11/2/2020,11/9/2020,,,3/5/2021,0,0,1,0,0,1
TStarks,Rejected,3.94,160,0,10+ years,88,12/12/2020,12/17/2020,,,1/14/2021,0,0,0,0,1,1
turkeycasserole,Rejected,3.64,167,0,0 years (KJD),148,2/10/2021,2/17/2021,2/17/2021,,3/15/2021,0,1,0,0,0,0
Turniphead,Rejected,3.67,169,1,1-4 years,40,10/25/2020,10/29/2020,,,,0,0,1,0,0,1
tututulips,Accepted,4.13,180,0,1-4 years,3,9/18/2020,9/24/2020,,12/10/2020,1/11/2021,1,0,1,0,0,1
TwoFiveWonderful,Rejected,3.33,176,0,1-4 years,76,11/30/2020,12/7/2020,,,1/14/2021,0,0,1,0,0,1
TXLawGirl,Rejected,3.77,167,0,1-4 years,5,9/20/2020,9/25/2020,,,1/14/2021,0,0,1,0,0,1
TypicalClockwiseMink,Rejected,3.68,179,0,1-4 years,45,10/30/2020,11/3/2020,,,3/15/2021,0,0,1,0,0,1
UghJUSTletMEin,Rejected,3.61,171,0,1-4 years,,,11/3/2020,,,1/14/2021,0,0,1,0,0,1
UghSad,"WL, Rejected",3.94,176,0,0 years (KJD),28,10/13/2020,10/21/2020,,1/21/2021,2/17/2021,0,1,0,0,0,0
UglySuddenFoxhound,Rejected,3.64,179,0,1-4 years,23,10/8/2020,10/15/2020,,,3/15/2021,0,0,1,0,0,1
UnableGrouchyBat,Rejected,3.4,167,0,5-9 years,73,11/27/2020,12/11/2020,,,1/14/2021,0,0,0,1,0,1
UnadvisedFabulousTarsier,Rejected,3.87,166,0,0 years (KJD),,,,,,,0,1,0,0,0,0
UnbecomingConfusedBoar,Waitlisted,4.05,171,0,1-4 years,33,10/18/2020,10/22/2020,,,2/26/2021,0,0,1,0,0,1
UnbiasedAbidingHamster,Rejected - FW,3.97,171,0,0 years (KJD),,,,,,2/9/2021,0,1,0,0,0,0
UnbiasedInvincibleYak,Accepted,,,0,?,,,,,,,1,,,,,
UnbiasedNeighborlyParrot,Rejected,3.79,170,0,1-4 years,,,,,,,0,0,1,0,0,1
UncertainElectricDolphin,Rejected,,173,0,1-4 years,73,11/27/2020,12/9/2020,,,1/14/2021,0,0,1,0,0,1
unchartedbeyond,Rejected,3.79,171,1,1-4 years,15,9/30/2020,10/2/2020,,,1/14/2021,0,0,1,0,0,1
Unclr99,Waitlisted,3.98,173,0,1-4 years,,,,,,,0,0,1,0,0,1
UndesirablePointlessBuzzard,Rejected,3.58,154,1,0 years (KJD),71,11/25/2020,,,,1/14/2021,0,1,0,0,0,0
UndyingArtichoke,Rejected,3.38,174,0,1-4 years,,,12/14/2020,,,2/10/2021,0,0,1,0,0,1
UnequalSequel,Rejected,3.79,171,0,1-4 years,,,10/23/2020,,,1/14/2021,0,0,1,0,0,1
UniqueUsername2,Rejected,3.7,172,0,1-4 years,68,11/22/2020,12/3/2020,,,2/9/2021,0,0,1,0,0,1
UnkemptAjarDoor,Rejected,3.44,171,0,0 years (KJD),29,10/14/2020,,,,1/14/2021,0,1,0,0,0,0
Unkn0wn314,Rejected,3.6,172,0,0 years (KJD),,,,,,,0,1,0,0,0,0
UnknownFancyParadise,Rejected,3.7,172,0,1-4 years,,,,,,,0,0,1,0,0,1
UnrulyLumpyDragon,Rejected,3.7,173,0,5-9 years,6,9/21/2020,9/30/2020,,,1/14/2021,0,0,0,1,0,1
UnsuitableExoticTiger,"WL, Withdrawn",3.49,164,1,1-4 years,,,,,,,0,0,1,0,0,1
UnsuitableOppositeTiger,Rejected - FW,4,169,0,5-9 years,,,,,,,0,0,0,1,0,1
UnsuitableTrickyHummingbird,Rejected,4.03,162,1,0 years (KJD),,,,,,,0,1,0,0,0,0
UnsuitableUnadvisedChin,Rejected,3.56,171,0,1-4 years,,,,,,,0,0,1,0,0,1
UntidyAcidHedgehog,Rejected,3.79,172,0,1-4 years,52,11/6/2020,11/16/2020,,,,0,0,1,0,0,1
UnusualHistoricalKoala,Rejected,3.6,161,1,?,,,,,,,0,,,,,
UnusualUnkemptPanda,Rejected,3.85,172,0,0 years (KJD),141,2/3/2021,2/8/2021,,,4/5/2021,0,1,0,0,0,0
UpbeatLavishCoral,"WL, Withdrawn",4,173,0,0 years (KJD),,,,,,,0,1,0,0,0,0
UpbeatPhysicalWhale,Rejected,3.7,175,0,10+ years,,,,,,1/14/2021,0,0,0,0,1,1
UppityMeanSquirrel,Rejected,3.88,175,0,0 years (KJD),,,,,,,0,1,0,0,0,0
UptightDisturbedSnake,"WL, Withdrawn",3.93,172,1,1-4 years,,,,,,,0,0,1,0,0,1
urbs,Rejected,3.89,177,0,0 years (KJD),19,10/4/2020,10/6/2020,,,1/14/2021,0,1,0,0,0,0
urleastfavteacher,Rejected,3.64,179,0,1-4 years,27,10/12/2020,10/21/2020,,,3/15/2021,0,0,1,0,0,1
UseAPasswordManager,Rejected,3.76,171,0,1-4 years,10,9/25/2020,10/4/2020,,,1/14/2021,0,0,1,0,0,1
UsedFaithfulTiger,"Accepted, Withdrawn",3.87,172,0,1-4 years,,,,,11/23/2020,,1,0,1,0,0,1
UsefulAngryHippotamus,Rejected,4,175,0,5-9 years,,,,,,,0,0,0,1,0,1
user190457137109,"WL, Withdrawn",3.9,177,0,0 years (KJD),21,10/6/2020,10/8/2020,,,2/26/2021,0,1,0,0,0,0
username12345,Waitlisted,3.94,173,0,1-4 years,17,10/2/2020,,,,,0,0,1,0,0,1
UttermostInnocentOpossum,Waitlisted,3.79,170,1,1-4 years,47,11/1/2020,11/12/2020,,4/6/2021,4/14/2021,0,0,1,0,0,1
VacuousComputerBlanket,Accepted,4.04,176,0,1-4 years,38,10/23/2020,10/25/2020,,11/5/2020,1/11/2021,1,0,1,0,0,1
vacuousturtle,Waitlisted,3.92,180,0,1-4 years,,,,,,,0,0,1,0,0,1
